Column1	Column2	Column3	Column4	Column5	Column6
SpeciesFile ContamW 2.0					
					
1/1	!start-of-file date				
31-Dec	!end-of-file date				
4					
PM2.5					
NO2					
SO2					
CO					
					
					
!Date	Time	PM2.5	NO2	SO2	CO
11/16	24:00:00	6.31802E-19	2.28571E-08	1.01329E-09	1.01329E-06
11/17	24:00:00	6.6306E-19	2.54568E-08	9.80066E-10	9.80066E-07
11/18	24:00:00	7.59957E-19	2.73671E-08	1.34551E-09	1.34551E-06
11/19	24:00:00	9.33774E-19	2.85963E-08	1.01329E-09	1.01329E-06
11/20	24:00:00	7.34543E-19	2.88455E-08	1.08804E-09	1.08804E-06
11/21	24:00:00	9.38259E-19	2.91196E-08	1.19601E-09	1.19601E-06
11/22	24:00:00	1.69033E-18	3.18106E-08	2.42525E-09	2.42525E-06
11/23	24:00:00	1.77119E-18	3.21013E-08	2.14286E-09	2.14286E-06
11/24	24:00:00	9.7767E-19	3.12126E-08	1.14618E-09	1.14618E-06
11/25	24:00:00	7.2041E-19	3.03239E-08	1.24585E-09	1.24585E-06
11/26	24:00:00	5.40341E-19	3.05648E-08	9.46844E-10	9.46844E-07
11/27	24:00:00	7.56559E-19	3.14037E-08	1.37874E-09	1.37874E-06
11/28	24:00:00	7.91758E-19	3.22674E-08	1.96013E-09	1.96013E-06
11/29	24:00:00	0	3.30233E-08	1.73588E-09	1.73588E-06
11/30	24:00:00	1.57482E-18	3.20349E-08	2.23422E-09	2.23422E-06
12/1	24:00:00	1.24091E-18	2.95183E-08	2.23422E-09	2.23422E-06
12/2	24:00:00	1.10202E-18	3.01163E-08	2.11794E-09	2.11794E-06
12/3	24:00:00	1.36635E-18	2.86462E-08	1.86877E-09	1.86877E-06
12/4	24:00:00	4.61519E-19	2.75997E-08	1.14618E-09	1.14618E-06
12/5	24:00:00	4.01858E-19	2.72259E-08	1.96844E-09	1.96844E-06
12/6	24:00:00	1.26184E-18	2.79983E-08	1.7608E-09	1.7608E-06
12/7	24:00:00	2.40286E-18	3.00083E-08	2.21761E-09	2.21761E-06
12/8	24:00:00	2.28232E-18	3.10133E-08	2.73256E-09	2.73256E-06
12/9	24:00:00	1.74755E-18	3.17525E-08	2.01827E-09	2.01827E-06
12/10	24:00:00	1.18859E-18	3.06063E-08	2.01827E-09	2.01827E-06
12/11	24:00:00	1.37776E-18	3.0108E-08	2.23422E-09	2.23422E-06
12/12	24:00:00	7.61995E-19	2.96013E-08	1.6196E-09	1.6196E-06
12/13	24:00:00	5.37351E-19	3.06146E-08	1.57807E-09	1.57807E-06
12/14	24:00:00	7.32777E-19	3.08306E-08	1.84385E-09	1.84385E-06
12/15	24:00:00	6.69039E-19	3.07226E-08	1.83555E-09	1.83555E-06
12/16	24:00:00	7.02879E-19	3.11213E-08	1.90199E-09	1.90199E-06
12/17	24:00:00	9.72234E-19	3.17774E-08	1.99336E-09	1.99336E-06
12/18	24:00:00	1.04073E-18	3.21512E-08	2.15116E-09	2.15116E-06
12/19	24:00:00	1.12118E-18	3.25332E-08	2.15947E-09	2.15947E-06
12/20	24:00:00	1.68068E-18	3.83638E-08	2.71595E-09	2.71595E-06
12/21	24:00:00	2.56866E-18	3.23671E-08	3.07309E-09	3.07309E-06
12/22	24:00:00	2.52979E-18	4.67774E-08	2.57475E-09	2.57475E-06
12/23	24:00:00	1.93129E-18	6.74252E-08	2.01827E-09	2.01827E-06
12/24	24:00:00	1.56E-18	6.43189E-08	1.56146E-09	1.56146E-06
12/25	24:00:00	1.44014E-18	5.91694E-08	2.09302E-09	2.09302E-06
12/26	24:00:00	1.5687E-18	5.44186E-08	8.05648E-10	8.05648E-07
12/27	24:00:00	9.98599E-19	5.12126E-08	6.72757E-10	6.72757E-07
12/28	24:00:00	1.21156E-18	6.66944E-08	8.3887E-10	8.3887E-07
12/29	24:00:00	9.87319E-19	6.41113E-08	1.37043E-09	1.37043E-06
12/30	24:00:00	1.30356E-18	5.65282E-08	1.3289E-09	1.3289E-06
12/31	24:00:00	0	0	0	0
